,Transaction Date,Post Date,Description,Category,Type,Amount,Memo,Unnamed: 7,Unnamed: 8
423,12/30/2024,2024-12-31,PEARL RIVER MART,Groceries,Sale,-23.76,,,
424,12/31/2024,2024-12-31,PTI*MOIC  NYC,Entertainment,Sale,-167.96,,,
425,12/30/2024,2024-12-31,TST* 7TH STREET BURGER -,Food & Drink,Sale,-45.72,,,
426,12/30/2024,2024-12-31,PEARL RIVER MART,Groceries,Sale,-3.81,,,
427,12/30/2024,2024-12-31,TIM HORTONS #916632,Food & Drink,Sale,-5.25,,,
428,12/29/2024,2024-12-31,MTA*METROCARD MACHINE,Travel,Sale,-35.0,,,
429,12/30/2024,2024-12-31,TST*CHOTE MIYA,Food & Drink,Sale,-37.03,,,
430,12/30/2024,2024-12-31,SQ *AMY'S BREAD,Food & Drink,Sale,-25.55,,,
431,12/29/2024,2024-12-31,NEW YUE WONG RESTAURANT I,Food & Drink,Sale,-101.95,,,
432,12/30/2024,2024-12-31,TST* METRO MARCHE  - 569,Food & Drink,Sale,-16.57,,,
433,12/30/2024,2024-12-30,STATUE CRUISES,Travel,Sale,-103.2,,,
434,12/29/2024,2024-12-30,PETCO VITAL CARE 4200,Shopping,Sale,-26.93,,,
435,12/28/2024,2024-12-30,MTA*METROCARD MACHINE,Travel,Sale,-35.0,,,
436,12/28/2024,2024-12-30,MTA*METROCARD MACHINE,Travel,Sale,-35.0,,,
437,12/27/2024,2024-12-29,MTA*METROCARD/AIRTRAIN,Travel,Sale,-3.0,,,
438,12/27/2024,2024-12-29,MTA*METROCARD/AIRTRAIN,Travel,Sale,-21.0,,,
439,12/27/2024,2024-12-29,TARGET        00014019,Shopping,Sale,-85.1,,,
440,12/29/2024,2024-12-29,Relaise de venise,Food & Drink,Sale,-195.89,,,
441,12/28/2024,2024-12-29,Met Museum of Art,Gifts & Donations,Sale,-120.0,,,
442,12/28/2024,2024-12-29,SQ *AJM BUSINESS SERVICE,Food & Drink,Sale,-28.7,,,
443,12/27/2024,2024-12-29,MARSHALLS #875,Shopping,Sale,-360.5,,,
444,12/26/2024,2024-12-27,TDI*BROADWAY.COM TICKT,Entertainment,Sale,-359.36,,,
445,12/26/2024,2024-12-27,TDI*BROADWAY.COM TICKT,Entertainment,Sale,-359.36,,,
446,12/27/2024,2024-12-27,SUMMIT ONE VANDERBILT,Entertainment,Sale,-190.55,,,
447,12/26/2024,2024-12-27,GOCITY * NYC,Travel,Sale,-776.0,,,
448,12/24/2024,2024-12-25,SMART AND FINAL 940,Groceries,Sale,-4.99,,,
449,12/24/2024,2024-12-25,BODHISD.COM,Personal,Sale,-116.59,,,
450,12/23/2024,2024-12-25,T.J. MAXX #1476,Shopping,Return,150.83,,,
451,12/24/2024,2024-12-25,RALPHS #0077,Groceries,Sale,-26.36,,,
452,12/23/2024,2024-12-24,T.J. MAXX #1476,Shopping,Sale,-291.87,,,
453,12/23/2024,2024-12-24,RALPHS #0077,Groceries,Sale,-35.23,,,
454,12/23/2024,2024-12-24,BODHISD.COM,Personal,Sale,-175.57,,,
455,12/23/2024,2024-12-24,PETCO 0559,Shopping,Sale,-46.13,,,
456,12/22/2024,2024-12-23,NORTHGATE MARKET #036,Groceries,Sale,-126.47,,,
457,12/22/2024,2024-12-23,COSTCO GAS #0488,Gas,Sale,-31.31,,,
458,12/21/2024,2024-12-23,TRADER JOE S #020,Groceries,Sale,-9.27,,,
459,12/20/2024,2024-12-22,T.J. MAXX #1476,Shopping,Sale,-67.81,,,
460,12/20/2024,2024-12-22,USPS PO 0567520123,Shopping,Sale,-10.45,,,
